company_name,extracted_email,website,art_affinity_score,art_category,country
"Interior Designer Salary in Madrid, Spain (2025) - ERI SalaryExpert",info.eri@erieri.com,"https://www.salaryexpert.com/salary/job/interior-designer/spain/madrid#:~:text=The%20average%20interior%20designer%20gross,average%20bonus%20of%201.396%20%E2%82%AC.",0.0,Neutral,Spain
Paula González Interiorista | Proyectos de Decoración e ...,,https://paulagonzalezinteriorista.com/,0.0,Neutral,Spain
Sonsoles Bravo - Interiorismo y decoración de interiores Madrid,"hello@sonsolesbravointeriorismo.com,nhello@sonsolesbravointeriorismo.com",https://sonsolesbravointeriorismo.com/,0.0,Neutral,Spain
Estudio interiorista en Madrid orientado a diseños de lujo,,https://theroom-studio.com/decorador-interiores-madrid/,0.0,Neutral,Spain
Eva Salabart – Interiorismo en Madrid,eva@evasalabart.es,https://evasalabart.es/,0.0,Neutral,Spain
"INICIO - Interiorismo, Reformas, Estilismo y Home Staging ...",,https://www.mariadelvalle.es/,0.0,Neutral,Spain
"Decoradores de Interiores, Jardines y Diversos Materiales (Tazas ...",datamexico@economia.gob.mx,"https://www.economia.gob.mx/datamexico/es/profile/occupation/decoradores-de-interiores-jardines-y-diversos-materiales-tazas-llaveros-etcetera#:~:text=La%20edad%20promedio%20de%20Decoradores,promedio%20de%20%244.4k%20MX.",0.0,Neutral,Spain
Paula González Interiorista | Proyectos de Decoración e ...,,https://paulagonzalezinteriorista.com/,0.0,Neutral,Spain
Sonsoles Bravo - Interiorismo y decoración de interiores Madrid,"hello@sonsolesbravointeriorismo.com,nhello@sonsolesbravointeriorismo.com",https://sonsolesbravointeriorismo.com/,0.0,Neutral,Spain
María Lantero | Interiorismo y Decoración Madrid | Estudio de ...,mlantero@malamo.com,https://malamo.com/,0.0,Neutral,Spain
"INICIO - Interiorismo, Reformas, Estilismo y Home Staging ...",,https://www.mariadelvalle.es/,0.0,Neutral,Spain
Eva Salabart – Interiorismo en Madrid,eva@evasalabart.es,https://evasalabart.es/,0.0,Neutral,Spain
▷ Diseño y Decoradores de interiores Madrid 【 Cecilia Caro 】,info@ceciliacaro.com,https://ceciliacaro.com/,0.0,Neutral,Spain
"Interior Designer Salary in Madrid, Spain (2025) - ERI SalaryExpert",info.eri@erieri.com,"https://www.salaryexpert.com/salary/job/interior-designer/spain/madrid#:~:text=The%20average%20interior%20designer%20gross,average%20bonus%20of%201.396%20%E2%82%AC.",0.0,Neutral,Spain
"INICIO - Interiorismo, Reformas, Estilismo y Home Staging ...",,https://www.mariadelvalle.es/,0.0,Neutral,Spain
Estudio de Interiorismo de lujo en Madrid - The Room Studio,,https://theroom-studio.com/decorador-interiores-madrid/,0.0,Neutral,Spain
Eva Salabart – Interiorismo en Madrid,eva@evasalabart.es,https://evasalabart.es/,0.0,Neutral,Spain
Mairena Suarez | Interiorista Madrid | Interiorismo Real,info@mairenasuarez.com,https://mairenasuarez.com/,0.0,Neutral,Spain
Diseño interiores salario en Barcelona - Jooble,,"https://es.jooble.org/salary/dise%C3%B1o-interiores/Barcelona#:~:text=%C2%BFCu%C3%A1nto%20gana%20Dise%C3%B1o%20interiores%20en,15%2C69%20%E2%82%AC%20por%20hora.",0.0,Neutral,Spain
"Interior Designer Salary in Barcelona, Spain (2025) - ERI SalaryExpert",info.eri@erieri.com,"https://www.salaryexpert.com/salary/job/interior-designer/spain/barcelona#:~:text=An%20entry%20level%20interior%20designer,average%20salary%20of%2053.228%20%E2%82%AC.",0.0,Neutral,Spain
Interiorismo en Barcelona | Arquitectura Interior,,https://theroom-studio.com/,0.0,Neutral,Spain
Sezam Studio - Interiorismo y reformas integrales en Barcelona,marina@sezam.es,https://sezam.es/,0.0,Neutral,Spain
Etna Studio: Estudio de Interiorismo en Barcelona,info@etnastudio.com,https://www.etnastudio.com/,0.0,Neutral,Spain
Interiorismo en Barcelona | Arquitectura Interior,,https://theroom-studio.com/,0.0,Neutral,Spain
Adela Cabré & Son | Interioristas Barcelona,"info@adelacabre.com,info@adelacabere.com",https://www.adelacabre.com/,0.0,Neutral,Spain
Molins Design: Estudio interiorismo Barcelona y Madrid,info@molinsdesign.com,https://molinsdesign.com/,0.0,Neutral,Spain
Diseño interiores salario en Barcelona - Jooble,,"https://es.jooble.org/salary/dise%C3%B1o-interiores/Barcelona#:~:text=%C2%BFCu%C3%A1nto%20gana%20Dise%C3%B1o%20interiores%20en,15%2C69%20%E2%82%AC%20por%20hora.",0.0,Neutral,Spain
"Decoradores de Interiores, Jardines y Diversos Materiales (Tazas ...",datamexico@economia.gob.mx,"https://www.economia.gob.mx/datamexico/es/profile/occupation/decoradores-de-interiores-jardines-y-diversos-materiales-tazas-llaveros-etcetera#:~:text=La%20edad%20promedio%20de%20Decoradores,promedio%20de%20%244.4k%20MX.",0.0,Neutral,Spain
Sezam Studio - Interiorismo y reformas integrales en Barcelona,marina@sezam.es,https://sezam.es/,0.0,Neutral,Spain
Estudio de Interiorismo en Barcelona | Miriam barrio,hola@miriambarrio.com,https://miriambarrio.com/,0.0,Neutral,Spain
Interiorismo en Barcelona | Arquitectura Interior,,https://theroom-studio.com/,0.0,Neutral,Spain
Estudio de Interiorismo en Barcelona | Miriam barrio,,https://miriambarrio.com/,0.0,Neutral,Spain
Sezam Studio - Interiorismo y reformas integrales en ...,marina@sezam.es,https://sezam.es/,0.0,Neutral,Spain
Interiorista salario en Barcelona - Jooble,,"https://es.jooble.org/salary/interiorista/Barcelona#:~:text=%C2%BFCu%C3%A1nto%20dinero%20puedo%20ganar%20como%20Interiorista%20por%20hora%20en%20Barcelona,15%2C87%20%E2%82%AC%20por%20hora.",0.0,Neutral,Spain
"Interior Designer Salary in Barcelona, Spain (2025) - ERI SalaryExpert",info.eri@erieri.com,"https://www.salaryexpert.com/salary/job/interior-designer/spain/barcelona#:~:text=An%20entry%20level%20interior%20designer,average%20salary%20of%2053.228%20%E2%82%AC.",0.0,Neutral,Spain
Etna Studio: Estudio de Interiorismo en Barcelona,info@etnastudio.com,https://www.etnastudio.com/,0.0,Neutral,Spain
VALENCIA INTERIORISMO Un lujo que te puedes permitir,info@zavan.es,https://valenciainteriorismo.com/,0.0,Neutral,Spain
Majo Flores Estudio. Interiorismo y decoración en Valencia.,info@majoflores.com,https://majoflores.com/,0.0,Neutral,Spain
Estudio interioristas Valencia,info@ideasinteriorismo.com,https://ideasinteriorismo.com/,0.0,Neutral,Spain
Estudio de Interiorismo Valencia - Marau Diseño de Interiores,info@marauinteriores.es,https://www.marauinteriores.es/,0.0,Neutral,Spain
Estudio de interiorismo Valencia | Balma,hola@balmaestudio.com,https://balmaestudio.com/,0.0,Neutral,Spain
VALENCIA INTERIORISMO Un lujo que te puedes permitir,info@zavan.es,https://valenciainteriorismo.com/,0.0,Neutral,Spain
"Decoradores de Interiores, Jardines y Diversos Materiales (Tazas ...",datamexico@economia.gob.mx,"https://www.economia.gob.mx/datamexico/es/profile/occupation/decoradores-de-interiores-jardines-y-diversos-materiales-tazas-llaveros-etcetera#:~:text=La%20edad%20promedio%20de%20Decoradores,promedio%20de%20%244.4k%20MX.",0.0,Neutral,Spain
Majo Flores Estudio. Interiorismo y decoración en Valencia.,info@majoflores.com,https://majoflores.com/,0.0,Neutral,Spain
Estudio de Interiorismo Valencia - Marau Diseño de Interiores,info@marauinteriores.es,https://www.marauinteriores.es/,0.0,Neutral,Spain
Estudio de interiorismo Valencia | Balma,hola@balmaestudio.com,https://balmaestudio.com/,0.0,Neutral,Spain
▷ Interiorista y Decorador de Interiores Valencia | Estudio ...,,https://theroom-studio.com/decorador-interiores-valencia/,0.0,Neutral,Spain
VALENCIA INTERIORISMO Un lujo que te puedes permitir,info@zavan.es,https://valenciainteriorismo.com/,0.0,Neutral,Spain
Majo Flores Estudio. Interiorismo y decoración en Valencia.,info@majoflores.com,https://majoflores.com/,0.0,Neutral,Spain
"Decoradores de Interiores, Jardines y Diversos Materiales (Tazas ...",datamexico@economia.gob.mx,"https://www.economia.gob.mx/datamexico/es/profile/occupation/decoradores-de-interiores-jardines-y-diversos-materiales-tazas-llaveros-etcetera#:~:text=La%20edad%20promedio%20de%20Decoradores,promedio%20de%20%244.4k%20MX.",0.0,Neutral,Spain
Estudio de Interiorismo Valencia - Marau Diseño de ...,info@marauinteriores.es,https://www.marauinteriores.es/,0.0,Neutral,Spain
Estudio de interiorismo Valencia | Balma,hola@balmaestudio.com,https://balmaestudio.com/,0.0,Neutral,Spain
Los Diseñadores de Interiores Más Destacados ... - Decorilla,"flags@2x.webp,globe@2x.webp,help@decorilla.com",https://www.decorilla.com/online-decorating/es/los-disenadores-de-interiores-mas-destacados-de-valencia-espana/,0.0,Neutral,Spain
Antonio Calzado Estudio,info@antoniocalzado.com,https://antoniocalzado.com/,0.0,Neutral,Spain
De Interiorismo: Interiorismo en Sevilla,,https://deinteriorismo.com/,0.0,Neutral,Spain
Estudio de arquitectura e interiorismo en Sevilla,info@lascasasdeiridella.es,https://lascasasdeiridella.es/,0.0,Neutral,Spain
Interiorista y Decoradora de Interiores en Sevilla y Online,info@diversointeriorismo.es,https://diversointeriorismo.es/,0.0,Neutral,Spain
Antonio Ternero Interiorismo – Interiorismo en Sevilla,diantonioterneromartin@gmail.com,https://antonioternerointeriorismo.com/,0.0,Neutral,Spain
De Interiorismo: Interiorismo en Sevilla,,https://deinteriorismo.com/,0.0,Neutral,Spain
Estudio de arquitectura e interiorismo en Sevilla,info@lascasasdeiridella.es,https://lascasasdeiridella.es/,0.0,Neutral,Spain
"Decoradores de Interiores, Jardines y Diversos Materiales (Tazas ...",datamexico@economia.gob.mx,"https://www.economia.gob.mx/datamexico/es/profile/occupation/decoradores-de-interiores-jardines-y-diversos-materiales-tazas-llaveros-etcetera#:~:text=La%20edad%20promedio%20de%20Decoradores,promedio%20de%20%244.4k%20MX.",0.0,Neutral,Spain
Antonio Calzado Estudio,info@antoniocalzado.com,https://antoniocalzado.com/,0.0,Neutral,Spain
Interiorista y Decoradora de Interiores en Sevilla y Online,info@diversointeriorismo.es,https://diversointeriorismo.es/,0.0,Neutral,Spain
