URL,Email,Industry,Business Type,Confidence,Relevance Reason
https://www.audreyscheckdesign.com,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,Interior Design,B2C,0.9,"The inferred business name, 'Audrey Scheck Design,' strongly suggests a professional design practice, which fits directly within the Interior Design niche."
https://www.audreyscheckdesign.com,2062d0a4929b45348643784b5cb39c36@sentry.wixpress.com,Interior Design,B2C,0.9,"The inferred business name, 'Audrey Scheck Design,' strongly suggests a professional design practice, which fits directly within the Interior Design niche."
https://www.audreyscheckdesign.com,8eb368c655b84e029ed79ad7a5c1718e@sentry.wixpress.com,Interior Design,B2C,0.9,"The inferred business name, 'Audrey Scheck Design,' strongly suggests a professional design practice, which fits directly within the Interior Design niche."
https://www.audreyscheckdesign.com,79baaa8e09c746d2b7401643b99792e0@sentry.wixpress.com,Interior Design,B2C,0.9,"The inferred business name, 'Audrey Scheck Design,' strongly suggests a professional design practice, which fits directly within the Interior Design niche."
https://www.audreyscheckdesign.com,hayley.antonian@scenariopr.com,Interior Design,B2C,0.9,"The inferred business name, 'Audrey Scheck Design,' strongly suggests a professional design practice, which fits directly within the Interior Design niche."
https://www.audreyscheckdesign.com,605a7baede844d278b89dc95ae0a9123@sentry-next.wixpress.com,Interior Design,B2C,0.9,"The inferred business name, 'Audrey Scheck Design,' strongly suggests a professional design practice, which fits directly within the Interior Design niche."
https://www.audreyscheckdesign.com,18d2f96d279149989b95faf0a4b41882@sentry-next.wixpress.com,Interior Design,B2C,0.9,"The inferred business name, 'Audrey Scheck Design,' strongly suggests a professional design practice, which fits directly within the Interior Design niche."
https://kellecontine.com/team,mackenzie@kellecontine.com,Interior Design,Hybrid,1.0,"The company explicitly titles itself an 'Interior Design Firm,' offers services including residential and commercial design, and employs Registered Interior Designers (RID)."
https://kellecontine.com/team,info@kellecontine.com,Interior Design,Hybrid,1.0,"The company explicitly titles itself an 'Interior Design Firm,' offers services including residential and commercial design, and employs Registered Interior Designers (RID)."
https://www.heatherscotthome.com/,info@heatherscotthome.com,Interior Design and Retail,B2C,1.0,"The business explicitly identifies itself as an 'award-winning interior design firm' and offers 'Interior Design Services,' directly serving the 'Interior Design' niche."
https://havenly.com/interior-designers/austin,6d1f3b0d43964b898c04f8afe4f04b7d@sentry.io,Interior Design,B2C,1.0,The website content explicitly titles the business as 'Havenly Interior Design' and offers services to 'Hire the Perfect Interior Designer.'
https://www.loandbeholdinteriors.com/,info@mysite.com,Interior Design,Hybrid,1.0,The domain name and implied business name ('Lo and Behold Interiors') clearly identify the company as operating within the interior design niche.
https://www.loandbeholdinteriors.com/,lo@lobeholdinteriors.com,Interior Design,Hybrid,1.0,The domain name and implied business name ('Lo and Behold Interiors') clearly identify the company as operating within the interior design niche.
