url,email,industry,qualification_score,relevance_reason,company_name,domain
https://11thagency.com/ai-poster-maker/,letswork@11thagency.com,Marketing,100,Auto-Qualified (listing - Speed Mode),11thagency,11thagency.com
http://CuriousAboutNextHome.com/,theresa@nexthomerealtycenter.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Curiousaboutnexthome,CuriousAboutNextHome.com
https://adcollection.beehiiv.com/subscribe,35c3cc890abe9dbb51e6e513fcd6bbca@o922922.ingest.us.sentry.io,Marketing,100,Auto-Qualified (listing - Speed Mode),Adcollection,adcollection.beehiiv.com
https://agencies.semrush.com/list/smm/austin/,email@example.com,Marketing,100,Auto-Qualified (organic - Speed Mode),Agencies,agencies.semrush.com
https://atxdigitalmarketing.com,contact@atxdigitalmarketing.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Atxdigitalmarketing,atxdigitalmarketing.com
https://backlinko.com/improve-your-seo,support@backlinko.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Backlinko,backlinko.com
https://binatedigital.com/,info@binatedigital.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Binatedigital,binatedigital.com
https://bizeebay.com/social-media/,info@bizeebay.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Bizeebay,bizeebay.com
https://business.sanmarcostexas.com/list/member/spectrum-reach-5151574,chamber@sanmarcostexas.com,Marketing,100,Auto-Qualified (organic - Speed Mode),Business,business.sanmarcostexas.com
https://clients.designity.com/,example@company.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Clients,clients.designity.com
https://codermasktech.com,info@codermask.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Codermasktech,codermasktech.com
https://creativepeppers.com/digital-marketing,info@creativepeppers.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Creativepeppers,creativepeppers.com
https://designity-newsite.webflow.io/pricing,support@designity.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Designity-newsite,designity-newsite.webflow.io
https://designstallion.com/austin-digital-marketing-agency.php,contact@designstallion.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Designstallion,designstallion.com
https://drivinglocalleads.com/,webdev@drivinglocaleads.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Drivinglocalleads,drivinglocalleads.com
https://forefrontweb.com/,info@forefrontweb.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Forefrontweb,forefrontweb.com
https://hayscaldwelledp.com/,otto@balconesre.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Hayscaldwelledp,hayscaldwelledp.com
https://helplama.com/best-digital-marketing-agency-in-texas/,partners@helplama.com,Marketing,100,Auto-Qualified (organic - Speed Mode),Helplama,helplama.com
https://herodigital.com/,jobs@hugeinc.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Herodigital,herodigital.com
https://hireinfluence.com/blog/best-influencer-marketing-austin/,img-mobile-abouthero@2x.webp,Marketing,100,Auto-Qualified (organic - Speed Mode),Hireinfluence,hireinfluence.com
https://hmgcreative.com/,hello@hmgcreative.com,Marketing,100,Auto-Qualified (listing - Speed Mode),Hmgcreative,hmgcreative.com
