URL,Email,Industry,Business Type,Confidence,Relevance Reason
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@model.iconlabel,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u0022pagination-@position.tostring,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@model.filteredbylabel,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@job.country,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@job.title,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u0022@url.job,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@job.city,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,name@email.com,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@date.tostring,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u0022@job.organizationid.tostring,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u0022@job.id,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@appliedfacet.facetdisplay,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@model.suggestedsearchtermslabel,,,,
https://jobs.dell.com/en/employment/austin-texas-united-states-software-engineer-jobs/375/70908/6252001-4736286-4737316-4671654/4,u003e@html.searchresultheadline,,,,
https://www.meetup.com/austin-software-engineers-developers/,mhutton@cybersecuritysummit.com,,,,
https://www.meetup.com/austin-software-engineers-developers/,franki.rosenthal@cyberriskalliance.com,,,,
https://www.meetup.com/austin-software-engineers-developers/,organizers@bostonnewtechnology.com,,,,
https://www.gsgtalentsolutions.com/specialties/it-staffing/software-developers-and-engineers/,info@gsgtalentsolutions.com,,,,
